,timestamp,gender,education_qualifications,current_occupation,political_view,device,news_source,concerned_about_consequences,share_type,age,gender_norm,education_qualifications_norm,political_view_norm,minute_per_day,post_per_day,share_per_week,importance_to_let_other_know,motivated_to_share,urgency,verification_importance,trustworthiness,verification_level,outcome,personal_interest,political_interest,concerned_about_consequences_norm
66,11/13/2018 11:52,female,hsc,student,not interested,computer,"From news portal website,From newsfeed posted by others",Maybe,"entertainment,news",20,2,2,0,30,2,1,4,1,1,7,5,1,4,5,4,2
67,11/13/2018 13:08,male,hsc,student,liberal,smartphone,"From news portal website,From newsfeed posted by others,From newsfeed shared by others",Maybe,news,20,1,2,1,120,2,4,4,3,3,5,6,5,5,1,1,2
68,11/13/2018 13:08,male,hsc,student,liberal,smartphone,"From news portal website,From newsfeed posted by others,From newsfeed shared by others",Maybe,news,20,1,2,1,120,2,4,4,3,3,5,6,5,5,1,1,2
69,11/13/2018 14:31,male,hsc,student,not interested,both,From newsfeed posted by others,Maybe,,20,1,2,0,150,1,0,2,3,3,7,5,6,2,3,2,2
70,11/13/2018 15:44,male,hsc,student,not interested,smartphone,From newsfeed posted by others,Yes,entertainment,23,1,2,0,180,2,0,4,3,7,7,4,7,5,5,4,3
71,11/13/2018 15:47,male,hsc,student,not interested,smartphone,"From news portal website,From newsfeed posted by others,From newsfeed shared by others",Maybe,,22,1,2,0,240,0,0,5,5,4,4,4,2,4,1,1,2
72,11/13/2018 16:32,male,bachelors,unemployed,not interested,both,"From newsfeed posted by others,From newsfeed shared by others",Yes,"sports,personal,scientific",24,1,3,0,250,2,4,4,4,6,6,5,5,6,2,2,3
73,11/13/2018 16:41,female,hsc,student,not interested,smartphone,From newsfeed shared by others,No,educational,22,2,2,0,150,0,0,1,1,7,7,7,7,7,4,1,1
74,11/13/2018 16:52,female,hsc,student,not interested,smartphone,"From newsfeed posted by others,From newsfeed shared by others",No,entertainment,23,2,2,0,360,2,6,2,2,2,5,6,7,4,2,1,1
75,11/13/2018 16:53,male,bachelors,student,liberal,smartphone,From news portal website,Yes,"informative,sports",22,1,3,1,90,1,2,7,4,5,7,7,7,6,1,1,3
76,11/13/2018 16:58,male,bachelors,student,not interested,smartphone,From newsfeed posted by others,Maybe,,23,1,3,0,300,0,0,5,3,3,6,6,5,3,1,1,2
77,11/13/2018 17:00,female,bachelors,student,not interested,smartphone,From news portal website,Yes,religious,23,2,3,0,300,1,7,5,7,4,7,7,7,5,5,1,3
78,11/13/2018 17:07,male,bachelors,unemployed,neutral,smartphone,From newsfeed shared by others,Yes,,23,1,3,1,180,0,2,4,4,4,4,5,6,4,3,1,3
79,11/13/2018 17:15,male,hsc,student,not interested,both,From newsfeed posted by others,Yes,entertainment,20,1,2,0,90,1,1,2,1,1,1,1,1,4,2,1,3
80,11/13/2018 17:29,male,hsc,student,not interested,smartphone,From newsfeed posted by others,Maybe,,20,1,2,0,60,1,2,5,3,5,4,5,4,5,1,1,2
81,11/13/2018 18:30,male,ssc,student,not interested,smartphone,From news portal website,Maybe,,18,1,1,0,30,0,0,4,2,1,5,2,4,4,2,1,2
82,11/13/2018 18:30,male,bachelors,student,not interested,both,From newsfeed posted by others,Yes,entertainment,23,1,3,0,300,2,3,5,7,7,5,5,2,5,2,2,3
83,11/13/2018 18:32,male,hsc,student,leftist,computer,"From newsfeed posted by others,From newsfeed shared by others",Yes,"philosophical,entertainment",22,1,2,1,120,0,0,4,3,1,6,6,4,5,5,4,3
84,11/13/2018 18:33,male,hsc,student,right wing,smartphone,Mainstream Media,Maybe,sports,18,1,2,1,150,2,5,4,4,5,7,7,6,6,2,2,2
85,11/13/2018 19:05,male,ssc,student,liberal,both,"From newsfeed posted by others,From newsfeed shared by others",Maybe,entertainment,18,1,1,1,300,2,9,4,5,2,7,7,6,3,1,1,2
86,11/13/2018 19:06,male,ssc,student,not interested,smartphone,From newsfeed posted by others,Maybe,entertainment,18,1,1,0,90,2,6,4,7,4,4,4,5,6,4,1,2
87,11/13/2018 19:19,male,ssc,student,not interested,both,"From newsfeed posted by others,From newsfeed shared by others",No,"scientific,entertainment,educational",18,1,1,0,60,0,2,5,6,3,7,4,4,4,2,1,1
88,11/13/2018 19:41,female,hsc,student,not interested,smartphone,"From news portal website,From newsfeed posted by others,From newsfeed shared by others",Yes,"scientific,entertainment",22,2,2,0,10,1,5,6,7,6,6,5,5,4,3,1,3
89,11/13/2018 19:42,female,hsc,student,not interested,smartphone,From newsfeed shared by others,Maybe,entertainment,21,2,2,0,30,4,0,5,6,4,7,7,7,3,1,1,2
90,11/13/2018 19:59,male,bachelors,student,neutral,both,From newsfeed posted by others,Maybe,"sports,news",22,1,3,1,180,2,1,5,5,5,6,5,6,4,4,1,2
91,11/13/2018 20:22,female,bachelors,student,not interested,smartphone,From news portal website,Yes,motivational,23,2,3,0,420,1,1,4,6,4,5,6,5,5,5,5,3
92,11/13/2018 20:59,male,ssc,student,neutral,smartphone,"From news portal website,From newsfeed posted by others,From newsfeed shared by others",Yes,"entertainment,informative",19,1,1,1,180,2,3,4,2,4,7,7,7,6,3,1,3
93,11/13/2018 21:14,female,hsc,student,not interested,smartphone,From news portal website,Yes,religious,21,2,2,0,200,2,6,4,4,4,4,4,4,4,4,5,3
94,11/13/2018 22:02,male,ssc,student,not interested,smartphone,Mainstream Media,Yes,"scientific,sports",18,1,1,0,45,1,2,4,5,5,7,7,7,6,1,1,3
95,11/13/2018 22:10,male,hsc,student,not interested,both,From news portal website,Maybe,"motivational,entertainment,informative",21,1,2,0,120,1,2,6,5,4,7,7,6,5,2,1,2
96,11/13/2018 22:29,male,hsc,student,not interested,both,"From news portal website,From newsfeed posted by others,From newsfeed shared by others",Maybe,philosophical,22,1,2,0,90,2,2,5,3,4,7,7,6,4,4,1,2
97,11/13/2018 22:32,male,hsc,student,not interested,both,"From news portal website,From newsfeed shared by others",Maybe,awareness,21,1,2,0,120,2,7,7,3,7,7,7,7,7,1,1,2
98,11/14/2018 0:07,male,hsc,student,not interested,both,From newsfeed posted by others,Maybe,,21,1,2,0,200,2,2,3,3,3,4,4,4,3,3,2,2
99,11/14/2018 0:10,male,hsc,student,not interested,both,From newsfeed shared by others,Yes,personal,20,1,2,0,80,0,3,4,3,4,7,5,7,4,5,2,3
100,11/14/2018 21:11,female,hsc,student,neutral,smartphone,"From news portal website,From newsfeed shared by others",Maybe,awareness,21,2,2,1,300,1,3,3,3,4,6,5,6,4,2,2,2
101,11/17/2018 10:56,male,bachelors,student,liberal,smartphone,From news portal website,Maybe,"awareness,entertainment",21,1,3,1,120,1,6,4,2,2,7,6,7,5,2,1,2
102,11/25/2018 17:57,male,hsc,student,not interested,smartphone,"From news portal website,From newsfeed shared by others",Maybe,"entertainment,scientific",19,1,2,0,180,1,2,1,1,3,7,5,7,4,4,1,2
103,12/18/2018 3:27,male,hsc,student,neutral,computer,From news portal website,Maybe,"informative,entertainment",20,1,2,1,60,0,0,4,3,4,6,6,6,5,2,1,2
